"Experiment","Worm.Age","Name","WITS.number","DNA","Proportion"
"Exp3",7,"51","7.WITS21",0,0
"Exp3",7,"51","8.WITS2",25.47006187,5.54925794214787e-05
"Exp3",7,"51","9.WITS1",63.50969104,0.000138370946724001
"Exp3",7,"52","2.WITS19",0,0
"Exp3",7,"52","3.WITS17",0,0
"Exp3",7,"52","4.WITS11",0,0
"Exp3",7,"52","5.WITS13",0,0
"Exp3",7,"52","6.WITS20",347799.156,0.999885387899131
"Exp3",7,"52","7.WITS21",0,0
"Exp3",7,"52","8.WITS2",12.82448695,3.68690288271087e-05
"Exp3",7,"52","9.WITS1",27.04207419,7.774307204203e-05
"Exp3",7,"53","2.WITS19",0,0
"Exp3",7,"53","3.WITS17",0,0
"Exp3",7,"53","4.WITS11",0.3935682,1.06315363168045e-06
"Exp3",7,"53","5.WITS13",0,0
"Exp3",7,"53","6.WITS20",370151.8476,0.999898571706675
"Exp3",7,"53","7.WITS21",0,0
"Exp3",7,"53","8.WITS2",11.24216616,3.03686877673527e-05
"Exp3",7,"53","9.WITS1",25.91194421,6.9996451925645e-05
"Exp3",8,"54","2.WITS19",1.930145284,1.02347989025048e-06
"Exp3",8,"54","3.WITS17",0,0
"Exp3",8,"54","4.WITS11",0,0
"Exp3",8,"54","5.WITS13",127.0164587,6.73518166160393e-05
"Exp3",8,"54","6.WITS20",1882443.592,0.998185565052463
"Exp3",8,"54","7.WITS21",3177.621081,0.00168496708625976
"Exp3",8,"54","8.WITS2",12.91367939,6.84761467148042e-06
"Exp3",8,"54","9.WITS1",102.298673,5.42449500992124e-05
"Exp3",8,"55","2.WITS19",0,0
"Exp3",8,"55","3.WITS17",0,0
"Exp3",8,"55","4.WITS11",0,0
"Exp3",8,"55","5.WITS13",0,0
"Exp3",8,"55","6.WITS20",221.9514008,0.00700536965525196
"Exp3",8,"55","7.WITS21",31339.79137,0.989166198879539
"Exp3",8,"55","8.WITS2",21.86804707,0.000690213050296727
"Exp3",8,"55","9.WITS1",99.42829679,0.0031382184149119
"Exp3",8,"56","2.WITS19",0,0
"Exp3",8,"56","3.WITS17",0,0
"Exp3",8,"56","4.WITS11",0,0
"Exp3",8,"56","5.WITS13",0,0
"Exp3",8,"56","6.WITS20",36683.64632,0.428459755486774
"Exp3",8,"56","7.WITS21",48785.22283,0.569804442632888
"Exp3",8,"56","8.WITS2",23.76457216,0.000277566812418264
"Exp3",8,"56","9.WITS1",124.8504178,0.0014582350679203
"Exp3",8,"57","2.WITS19",0,0
"Exp3",8,"57","3.WITS17",0,0
"Exp3",8,"57","4.WITS11",0,0
"Exp3",8,"57","5.WITS13",0,0
"Exp3",8,"57","6.WITS20",0,0
"Exp3",8,"57","7.WITS21",32667.36605,0.996662140136599
"Exp3",8,"57","8.WITS2",14.13123114,0.000431135557400023
"Exp3",8,"57","9.WITS1",95.27303495,0.00290672430600128
"Exp3",9,"58","2.WITS19",0,0
"Exp3",9,"58","3.WITS17",0,0
"Exp3",9,"58","4.WITS11",0.006336654,3.33755176528198e-07
"Exp3",9,"58","5.WITS13",3.938038884,0.000207418751742533
"Exp3",9,"58","6.WITS20",0,0
"Exp3",9,"58","7.WITS21",10880.19407,0.573066020725434
"Exp3",9,"58","8.WITS2",8078.67245,0.425508280815592
"Exp3",9,"58","9.WITS1",23.12384236,0.00121794595205483
"Exp3",9,"59","2.WITS19",0,0
"Exp3",9,"59","3.WITS17",0,0
"Exp3",9,"59","4.WITS11",18132.59661,0.723507211274246
"Exp3",9,"59","5.WITS13",2.241196832,8.94258061717833e-05
"Exp3",9,"59","6.WITS20",0,0
"Exp3",9,"59","7.WITS21",0.380347171,1.51762004595909e-05
"Exp3",9,"59","8.WITS2",6888.267433,0.274848179119176
"Exp3",9,"59","9.WITS1",38.5957958,0.00154000759994673
"Exp3",9,"60","2.WITS19",0,0
"Exp3",9,"60","3.WITS17",0,0
"Exp3",9,"60","4.WITS11",0,0
"Exp3",9,"60","5.WITS13",2.729983361,3.03788991280913e-05
"Exp3",9,"60","6.WITS20",0,0
"Exp3",9,"60","7.WITS21",324.4226131,0.00361013256675183
"Exp3",9,"60","8.WITS2",89497.3137,0.995914445475424
"Exp3",9,"60","9.WITS1",39.99355408,0.000445043058696571
"Exp3",9,"61","2.WITS19",0,0
"Exp3",9,"61","3.WITS17",0,0
"Exp3",9,"61","4.WITS11",0,0
"Exp3",9,"61","5.WITS13",2.710815748,1.05603525737028e-05
"Exp3",9,"61","6.WITS20",0,0
"Exp3",9,"61","7.WITS21",11.98612181,4.66935727366702e-05
"Exp3",9,"61","8.WITS2",256643.3408,0.999789147064144
"Exp3",9,"61","9.WITS1",39.42847682,0.000153599010545245
"Exp3",10,"62","2.WITS19",0,0
"Exp3",10,"62","3.WITS17",0,0
"Exp3",10,"62","4.WITS11",0,0
"Exp3",10,"62","5.WITS13",0,0
